Participant,Practice,Block,Trial,Group type
0,true,0,0,RW4
0,false,1,0,null
0,false,1,1,null
0,false,1,2,null
0,false,1,3,null
0,false,1,4,null
0,false,1,5,null
0,false,1,6,null
0,false,1,7,null
0,false,1,8,null
0,false,1,9,null
1,false,1,0,null
1,false,1,1,null
1,false,1,2,null
1,false,1,3,null
1,false,1,4,null
1,false,1,5,null
1,false,1,6,null
1,false,1,7,null
1,false,1,8,null
1,false,1,9,null
2,false,1,0,null
2,false,1,1,null
2,false,1,2,null
2,false,1,3,null
2,false,1,4,null
2,false,1,5,null
2,false,1,6,null
2,false,1,7,null
2,false,1,8,null
2,false,1,9,null
3,false,1,0,null
3,false,1,1,null
3,false,1,2,null
3,false,1,3,null
3,false,1,4,null
3,false,1,5,null
3,false,1,6,null
3,false,1,7,null
3,false,1,8,null
3,false,1,9,null
4,false,1,0,null
4,false,1,1,null
4,false,1,2,null
4,false,1,3,null
4,false,1,4,null
4,false,1,5,null
4,false,1,6,null
4,false,1,7,null
4,false,1,8,null
4,false,1,9,null
5,false,1,0,null
5,false,1,1,null
5,false,1,2,null
5,false,1,3,null
5,false,1,4,null
5,false,1,5,null
5,false,1,6,null
5,false,1,7,null
5,false,1,8,null
5,false,1,9,null
6,true,0,0,V
6,false,1,0,null
6,false,1,1,null
6,false,1,2,null
6,false,1,3,null
6,false,1,4,null
6,false,1,5,null
6,false,1,6,null
6,false,1,7,null
6,false,1,8,null
6,false,1,9,null
7,false,1,0,null
7,false,1,1,null
7,false,1,2,null
7,false,1,3,null
7,false,1,4,null
7,false,1,5,null
7,false,1,6,null
7,false,1,7,null
7,false,1,8,null
7,false,1,9,null
8,false,1,0,null
8,false,1,1,null
8,false,1,2,null
8,false,1,3,null
8,false,1,4,null
8,false,1,5,null
8,false,1,6,null
8,false,1,7,null
8,false,1,8,null
8,false,1,9,null
9,false,1,0,null
9,false,1,1,null
9,false,1,2,null
9,false,1,3,null
9,false,1,4,null
9,false,1,5,null
9,false,1,6,null
9,false,1,7,null
9,false,1,8,null
9,false,1,9,null
10,false,1,0,null
10,false,1,1,null
10,false,1,2,null
10,false,1,3,null
10,false,1,4,null
10,false,1,5,null
10,false,1,6,null
10,false,1,7,null
10,false,1,8,null
10,false,1,9,null
11,false,1,0,null
11,false,1,1,null
11,false,1,2,null
11,false,1,3,null
11,false,1,4,null
11,false,1,5,null
11,false,1,6,null
11,false,1,7,null
11,false,1,8,null
11,false,1,9,null
12,true,0,0,V
12,false,1,0,null
12,false,1,1,null
12,false,1,2,null
12,false,1,3,null
12,false,1,4,null
12,false,1,5,null
12,false,1,6,null
12,false,1,7,null
12,false,1,8,null
12,false,1,9,null
13,false,1,0,null
13,false,1,1,null
13,false,1,2,null
13,false,1,3,null
13,false,1,4,null
13,false,1,5,null
13,false,1,6,null
13,false,1,7,null
13,false,1,8,null
13,false,1,9,null
14,false,1,0,null
14,false,1,1,null
14,false,1,2,null
14,false,1,3,null
14,false,1,4,null
14,false,1,5,null
14,false,1,6,null
14,false,1,7,null
14,false,1,8,null
14,false,1,9,null
15,false,1,0,null
15,false,1,1,null
15,false,1,2,null
15,false,1,3,null
15,false,1,4,null
15,false,1,5,null
15,false,1,6,null
15,false,1,7,null
15,false,1,8,null
15,false,1,9,null
16,false,1,0,null
16,false,1,1,null
16,false,1,2,null
16,false,1,3,null
16,false,1,4,null
16,false,1,5,null
16,false,1,6,null
16,false,1,7,null
16,false,1,8,null
16,false,1,9,null
17,false,1,0,null
17,false,1,1,null
17,false,1,2,null
17,false,1,3,null
17,false,1,4,null
17,false,1,5,null
17,false,1,6,null
17,false,1,7,null
17,false,1,8,null
17,false,1,9,null
18,true,0,0,V
18,false,1,0,null
18,false,1,1,null
18,false,1,2,null
18,false,1,3,null
18,false,1,4,null
18,false,1,5,null
18,false,1,6,null
18,false,1,7,null
18,false,1,8,null
18,false,1,9,null
19,false,1,0,null
19,false,1,1,null
19,false,1,2,null
19,false,1,3,null
19,false,1,4,null
19,false,1,5,null
19,false,1,6,null
19,false,1,7,null
19,false,1,8,null
19,false,1,9,null
20,false,1,0,null
20,false,1,1,null
20,false,1,2,null
20,false,1,3,null
20,false,1,4,null
20,false,1,5,null
20,false,1,6,null
20,false,1,7,null
20,false,1,8,null
20,false,1,9,null
21,false,1,0,null
21,false,1,1,null
21,false,1,2,null
21,false,1,3,null
21,false,1,4,null
21,false,1,5,null
21,false,1,6,null
21,false,1,7,null
21,false,1,8,null
21,false,1,9,null
22,false,1,0,null
22,false,1,1,null
22,false,1,2,null
22,false,1,3,null
22,false,1,4,null
22,false,1,5,null
22,false,1,6,null
22,false,1,7,null
22,false,1,8,null
22,false,1,9,null
23,false,1,0,null
23,false,1,1,null
23,false,1,2,null
23,false,1,3,null
23,false,1,4,null
23,false,1,5,null
23,false,1,6,null
23,false,1,7,null
23,false,1,8,null
23,false,1,9,null
